route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
373,1,31388,SEKAPARK,21:15,0,,911,0,0
373,1,31389,SEKAPARK,21:30,0,,911,0,0
373,1,31390,SEKAPARK,21:45,0,,911,0,0
373,1,31391,SEKAPARK,22:00,0,,911,0,0
373,1,31392,SEKAPARK,22:15,0,,911,0,0
373,1,31393,SEKAPARK,22:30,0,,911,0,0
373,1,31394,SEKAPARK,22:45,0,,911,0,0
373,1,31395,SEKAPARK,23:00,0,,911,0,0
373,1,31396,SEKAPARK,23:15,0,,911,0,0
373,1,31397,SEKAPARK,23:30,0,,911,0,0
373,1,31398,SEKAPARK,23:45,0,,911,0,0
373,1,31399,SEKAPARK,00:00,0,,911,0,0
373,2,31400,SEKAPARK,06:30,0,,911,0,0
373,2,31401,SEKAPARK,06:40,0,,911,0,0
373,2,31402,SEKAPARK,06:50,0,,911,0,0
373,2,31403,SEKAPARK,07:00,0,,911,0,0
373,2,31404,SEKAPARK,07:10,0,,911,0,0
373,2,31405,SEKAPARK,07:20,0,,911,0,0
373,2,31406,SEKAPARK,07:30,0,,911,0,0
373,2,31407,SEKAPARK,07:37,0,,911,0,0
373,2,31408,SEKAPARK,07:45,0,,911,0,0
373,2,31409,SEKAPARK,07:52,0,,911,0,0
373,2,31410,SEKAPARK,08:00,0,,911,0,0
373,2,31411,SEKAPARK,08:07,0,,911,0,0
373,2,31412,SEKAPARK,08:15,0,,911,0,0
373,2,31413,SEKAPARK,08:22,0,,911,0,0
373,2,31414,SEKAPARK,08:30,0,,911,0,0
373,2,31415,SEKAPARK,08:37,0,,911,0,0
373,2,31416,SEKAPARK,08:45,0,,911,0,0
373,2,31417,SEKAPARK,08:52,0,,911,0,0
373,2,31418,SEKAPARK,09:00,0,,911,0,0
373,2,31419,SEKAPARK,09:10,0,,911,0,0
373,2,31420,SEKAPARK,09:20,0,,911,0,0
373,2,31421,SEKAPARK,09:30,0,,911,0,0
373,2,31422,SEKAPARK,09:40,0,,911,0,0
373,2,31423,SEKAPARK,09:50,0,,911,0,0
373,2,31424,SEKAPARK,10:00,0,,911,0,0
373,2,31425,SEKAPARK,10:10,0,,911,0,0
373,2,31426,SEKAPARK,10:20,0,,911,0,0
373,2,31427,SEKAPARK,10:30,0,,911,0,0
373,2,31428,SEKAPARK,10:40,0,,911,0,0
373,2,31429,SEKAPARK,10:50,0,,911,0,0
373,2,31430,SEKAPARK,11:00,0,,911,0,0
373,2,31431,SEKAPARK,11:10,0,,911,0,0
373,2,31432,SEKAPARK,11:20,0,,911,0,0
373,2,31433,SEKAPARK,11:30,0,,911,0,0
373,2,31434,SEKAPARK,11:40,0,,911,0,0
373,2,31435,SEKAPARK,11:50,0,,911,0,0
373,2,31436,SEKAPARK,12:00,0,,911,0,0
373,2,31437,SEKAPARK,12:10,0,,911,0,0
373,2,31438,SEKAPARK,12:20,0,,911,0,0
373,2,31439,SEKAPARK,12:30,0,,911,0,0
373,2,31440,SEKAPARK,12:40,0,,911,0,0
373,2,31441,SEKAPARK,12:50,0,,911,0,0
373,2,31442,SEKAPARK,13:00,0,,911,0,0
373,2,31443,SEKAPARK,13:10,0,,911,0,0
373,2,31444,SEKAPARK,13:20,0,,911,0,0
373,2,31445,SEKAPARK,13:30,0,,911,0,0
373,2,31446,SEKAPARK,13:40,0,,911,0,0
373,2,31447,SEKAPARK,13:50,0,,911,0,0
373,2,31448,SEKAPARK,14:00,0,,911,0,0
373,2,31449,SEKAPARK,14:10,0,,911,0,0
373,2,31450,SEKAPARK,14:20,0,,911,0,0
373,2,31451,SEKAPARK,14:30,0,,911,0,0
373,2,31452,SEKAPARK,14:40,0,,911,0,0
373,2,31453,SEKAPARK,14:50,0,,911,0,0
373,2,31454,SEKAPARK,15:00,0,,911,0,0
373,2,31455,SEKAPARK,15:10,0,,911,0,0
373,2,31456,SEKAPARK,15:20,0,,911,0,0
373,2,31457,SEKAPARK,15:30,0,,911,0,0
373,2,31458,SEKAPARK,15:40,0,,911,0,0
373,2,31459,SEKAPARK,15:50,0,,911,0,0
373,2,31460,SEKAPARK,16:00,0,,911,0,0
373,2,31461,SEKAPARK,16:07,0,,911,0,0
373,2,31462,SEKAPARK,16:15,0,,911,0,0
373,2,31463,SEKAPARK,16:22,0,,911,0,0
373,2,31464,SEKAPARK,16:30,0,,911,0,0
373,2,31465,SEKAPARK,16:37,0,,911,0,0
373,2,31466,SEKAPARK,16:45,0,,911,0,0
373,2,31467,SEKAPARK,16:52,0,,911,0,0
373,2,31468,SEKAPARK,17:00,0,,911,0,0
373,2,31469,SEKAPARK,17:07,0,,911,0,0
373,2,31470,SEKAPARK,17:15,0,,911,0,0
373,2,31471,SEKAPARK,17:22,0,,911,0,0
373,2,31472,SEKAPARK,17:30,0,,911,0,0
373,2,31473,SEKAPARK,17:37,0,,911,0,0
373,2,31474,SEKAPARK,17:45,0,,911,0,0
373,2,31475,SEKAPARK,17:52,0,,911,0,0
373,2,31476,SEKAPARK,18:00,0,,911,0,0
373,2,31477,SEKAPARK,18:07,0,,911,0,0
373,2,31478,SEKAPARK,18:15,0,,911,0,0
373,2,31479,SEKAPARK,18:22,0,,911,0,0
373,2,31480,SEKAPARK,18:30,0,,911,0,0
373,2,31481,SEKAPARK,18:37,0,,911,0,0
373,2,31482,SEKAPARK,18:45,0,,911,0,0
373,2,31483,SEKAPARK,18:52,0,,911,0,0
373,2,31484,SEKAPARK,19:00,0,,911,0,0
373,2,31485,SEKAPARK,19:10,0,,911,0,0
373,2,31486,SEKAPARK,19:20,0,,911,0,0
373,2,31487,SEKAPARK,19:30,0,,911,0,0
373,2,31488,SEKAPARK,19:40,0,,911,0,0
373,2,31489,SEKAPARK,19:50,0,,911,0,0
373,2,31490,SEKAPARK,20:00,0,,911,0,0
373,2,31491,SEKAPARK,20:10,0,,911,0,0
373,2,31492,SEKAPARK,20:20,0,,911,0,0
373,2,31493,SEKAPARK,20:30,0,,911,0,0
373,2,31494,SEKAPARK,20:40,0,,911,0,0
373,2,31495,SEKAPARK,20:50,0,,911,0,0
373,2,31496,SEKAPARK,21:00,0,,911,0,0
373,2,31497,SEKAPARK,21:10,0,,911,0,0
373,2,31498,SEKAPARK,21:20,0,,911,0,0
373,2,31499,SEKAPARK,21:30,0,,911,0,0
373,2,31500,SEKAPARK,21:40,0,,911,0,0
373,2,31501,SEKAPARK,21:50,0,,911,0,0
373,2,31502,SEKAPARK,22:00,0,,911,0,0
373,2,31503,SEKAPARK,22:15,0,,911,0,0
373,2,31504,SEKAPARK,22:30,0,,911,0,0
373,2,31505,SEKAPARK,22:45,0,,911,0,0
373,2,31506,SEKAPARK,23:00,0,,911,0,0
373,2,31507,SEKAPARK,23:15,0,,911,0,0
373,2,31508,SEKAPARK,23:30,0,,911,0,0
373,2,31509,SEKAPARK,23:45,0,,911,0,0
373,2,31510,SEKAPARK,00:00,0,,911,0,0
373,3,31511,SEKAPARK,06:30,0,,911,0,0
373,3,31512,SEKAPARK,06:40,0,,911,0,0
373,3,31513,SEKAPARK,06:50,0,,911,0,0
373,3,31514,SEKAPARK,07:00,0,,911,0,0
373,3,31515,SEKAPARK,07:10,0,,911,0,0
373,3,31516,SEKAPARK,07:20,0,,911,0,0
373,3,31517,SEKAPARK,07:30,0,,911,0,0
373,3,31518,SEKAPARK,07:37,0,,911,0,0
373,3,31519,SEKAPARK,07:45,0,,911,0,0
373,3,31520,SEKAPARK,07:52,0,,911,0,0
373,3,31521,SEKAPARK,08:00,0,,911,0,0
373,3,31522,SEKAPARK,08:07,0,,911,0,0
373,3,31523,SEKAPARK,08:15,0,,911,0,0
373,3,31524,SEKAPARK,08:22,0,,911,0,0
373,3,31525,SEKAPARK,08:30,0,,911,0,0
373,3,31526,SEKAPARK,08:37,0,,911,0,0
373,3,31527,SEKAPARK,08:45,0,,911,0,0
373,3,31528,SEKAPARK,08:52,0,,911,0,0
373,3,31529,SEKAPARK,09:00,0,,911,0,0
373,3,31530,SEKAPARK,09:10,0,,911,0,0
373,3,31531,SEKAPARK,09:20,0,,911,0,0
373,3,31532,SEKAPARK,09:30,0,,911,0,0
373,3,31533,SEKAPARK,09:40,0,,911,0,0
373,3,31534,SEKAPARK,09:50,0,,911,0,0
373,3,31535,SEKAPARK,10:00,0,,911,0,0
373,3,31536,SEKAPARK,10:10,0,,911,0,0
373,3,31537,SEKAPARK,10:20,0,,911,0,0
373,3,31538,SEKAPARK,10:30,0,,911,0,0
373,3,31539,SEKAPARK,10:40,0,,911,0,0
373,3,31540,SEKAPARK,10:50,0,,911,0,0
373,3,31541,SEKAPARK,11:00,0,,911,0,0
373,3,31542,SEKAPARK,11:10,0,,911,0,0
373,3,31543,SEKAPARK,11:20,0,,911,0,0
373,3,31544,SEKAPARK,11:30,0,,911,0,0
373,3,31545,SEKAPARK,11:40,0,,911,0,0
373,3,31546,SEKAPARK,11:50,0,,911,0,0
373,3,31547,SEKAPARK,12:00,0,,911,0,0
373,3,31548,SEKAPARK,12:10,0,,911,0,0
373,3,31549,SEKAPARK,12:20,0,,911,0,0
373,3,31550,SEKAPARK,12:30,0,,911,0,0
373,3,31551,SEKAPARK,12:40,0,,911,0,0
373,3,31552,SEKAPARK,12:50,0,,911,0,0
373,3,31553,SEKAPARK,13:00,0,,911,0,0
373,3,31554,SEKAPARK,13:10,0,,911,0,0
373,3,31555,SEKAPARK,13:20,0,,911,0,0
373,3,31556,SEKAPARK,13:30,0,,911,0,0
373,3,31557,SEKAPARK,13:40,0,,911,0,0
373,3,31558,SEKAPARK,13:50,0,,911,0,0
373,3,31559,SEKAPARK,14:00,0,,911,0,0
373,3,31560,SEKAPARK,14:10,0,,911,0,0
373,3,31561,SEKAPARK,14:20,0,,911,0,0
373,3,31562,SEKAPARK,14:30,0,,911,0,0
373,3,31563,SEKAPARK,14:40,0,,911,0,0
373,3,31564,SEKAPARK,14:50,0,,911,0,0
373,3,31565,SEKAPARK,15:00,0,,911,0,0
373,3,31566,SEKAPARK,15:10,0,,911,0,0
373,3,31567,SEKAPARK,15:20,0,,911,0,0
373,3,31568,SEKAPARK,15:30,0,,911,0,0
373,3,31569,SEKAPARK,15:40,0,,911,0,0
373,3,31570,SEKAPARK,15:50,0,,911,0,0
373,3,31571,SEKAPARK,16:00,0,,911,0,0
373,3,31572,SEKAPARK,16:07,0,,911,0,0
373,3,31573,SEKAPARK,16:15,0,,911,0,0
373,3,31574,SEKAPARK,16:22,0,,911,0,0
373,3,31575,SEKAPARK,16:30,0,,911,0,0
373,3,31576,SEKAPARK,16:37,0,,911,0,0
373,3,31577,SEKAPARK,16:45,0,,911,0,0
373,3,31578,SEKAPARK,16:52,0,,911,0,0
373,3,31579,SEKAPARK,17:00,0,,911,0,0
373,3,31580,SEKAPARK,17:07,0,,911,0,0
373,3,31581,SEKAPARK,17:15,0,,911,0,0
373,3,31582,SEKAPARK,17:22,0,,911,0,0
373,3,31583,SEKAPARK,17:30,0,,911,0,0
373,3,31584,SEKAPARK,17:37,0,,911,0,0
373,3,31585,SEKAPARK,17:45,0,,911,0,0
373,3,31586,SEKAPARK,17:52,0,,911,0,0
373,3,31587,SEKAPARK,18:00,0,,911,0,0
373,3,31588,SEKAPARK,18:07,0,,911,0,0
373,3,31589,SEKAPARK,18:15,0,,911,0,0
373,3,31590,SEKAPARK,18:22,0,,911,0,0
373,3,31591,SEKAPARK,18:30,0,,911,0,0
373,3,31592,SEKAPARK,18:37,0,,911,0,0
373,3,31593,SEKAPARK,18:45,0,,911,0,0
373,3,31594,SEKAPARK,18:52,0,,911,0,0
